_id,beneficiary_name,beneficiary_address,project_name,project_description,total_amount,project_status,management_authority,amount,amount_kind,approval_date,beneficiary_city,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_nuts_region,beneficiary_person,beneficiary_postal_code,beneficiary_url,cci_program_code,cci_program_title,completion_date,currency,eu_cofinancing_amount,eu_cofinancing_amount_eligible,eu_cofinancing_rate,european_investment_bank,final_payment_date,first_payment_date,fund_acronym,fund_name,funding_period,funding_period_number,member_state_amount,operational_programme,priority_label,priority_number,project_id,source,starting_date,theme_code,theme_name,third_party_amount,total_amount_applied,total_amount_eligible
1996,Dultinger Johann,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
1997,Dundler Barbara,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
1998,duomet GmbH,,Unternehmensinvestition mit Innovationsbezug,,1054200.0,,,1054200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
1999,duomet GmbH,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2000,duomet GmbH,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2001,duomet GmbH,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2002,duomet GmbH,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2003,duomet GmbH,,Innovationsdienstleistung für Unternehmen,,2700.0,,,2700.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2004,duomet GmbH,,Innovationsdienstleistung für Unternehmen,,1350.0,,,1350.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2005,duomet GmbH,,Innovationsdienstleistung für Unternehmen,,1350.0,,,1350.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2006,Dürer Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2007,Dürnberger Herwig,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2008,Dürnberger Herwig,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2009,Dürnberger Herwig,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2010,Dürnberger Herwig,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2011,Dürr Anlagenbau Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,1350.0,,,1350.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2012,Dürr Anlagenbau Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,1350.0,,,1350.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2013,Duscheck  & Duscheck GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2014,Duscheck  & Duscheck GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2015,Duscheck  & Duscheck GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2016,Duscheck  & Duscheck GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2017,Duscheck  & Duscheck GmbH,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2018,Duscheck  & Duscheck GmbH,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2019,Duscheck  & Duscheck GmbH,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2020,DYNACAST Österreich Gesellschaft m.b.H.,,Unternehmensinvestition mit Forschungs-/Technologiebezug,,1168146.71,,,1168146.71,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2021,DYNACAST Österreich Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2022,DYNACAST Österreich Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,1200.0,,,1200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2023,Dynea Austria GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2024,Dynea Austria GmbH,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2025,E S A ELEKTRO-AUTOMATION Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2026,E S A ELEKTRO-AUTOMATION Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2027,E S A ELEKTRO-AUTOMATION Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2028,E.A.S. Automatisierungstechnik Beratungsgesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2029,E.A.S. Automatisierungstechnik Beratungsgesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,1140.0,,,1140.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2030,EAM Elektrotechnische Anlagen- u. Montage GmbH,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2031,EAP electric GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2032,EAP electric GmbH,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2033,EAP electric GmbH,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2034,Eaton Industries (Austria) GmbH,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2035,Eaton Industries (Austria) GmbH,,Innovationsdienstleistung für Unternehmen,,1350.0,,,1350.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2036,Eaton Industries (Austria) GmbH und Eaton Holding (Austria) GmbH,,Unternehmensinvestition mit Forschungs-/Technologiebezug,,1668527.52,,,1668527.52,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2037,EAZ Elektroanlagenzubehör- Bau- u. VertriebsgesmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2038,EAZ Elektroanlagenzubehör- Bau- u. VertriebsgesmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2039,EAZ Elektroanlagenzubehör- Bau- u. VertriebsgesmbH,,Innovationsdienstleistung für Unternehmen,,820.0,,,820.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2040,EAZ GmbH,,Innovationsdienstleistung für Unternehmen,,460.0,,,460.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2041,EAZ GmbH,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2042,EAZ GmbH,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2043,Eberlein GmbH,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2044,Eberspächer Tageslichttechnik GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2045,Eberspächer Tageslichttechnik GmbH,,Innovationsdienstleistung für Unternehmen,,1200.0,,,1200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2046,Ebert Dach GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2047,Ebert Dach GmbH,,Innovationsdienstleistung für Unternehmen,,1350.0,,,1350.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2048,EBK Reiter GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2049,EBK Reiter GmbH,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2050,Ebner Jürgen,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2051,Ebner Karl,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2052,Ebner Martina,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2053,Eckbauer Robert,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2054,Ecker Michael,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2055,Ecker Roman,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2056,Eckerl Cornelia,,Innovationsdienstleistung für Unternehmen,,382.5,,,382.5,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2057,ecoduna OG,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2058,ecoduna OG,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2059,ecoduna OG,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2060,ecoduna OG,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2061,ecoduna OG,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2062,ECONICsystems innovative Kühllösungen GesmbH.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2063,ECONICsystems innovative Kühllösungen GesmbH.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2064,ecoplus Niederösterreichs Wirtschaftsagentur GmbH,,Projekt im Bereich Technologietransfer / KMU-Kooperation,,3854714.88,,,3854714.88,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2065,ecoplus Niederösterreichs Wirtschaftsagentur GmbH,,Innovationsdienstleistung für Unternehmen,,343594.66,,,343594.66,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2066,ecoplus. Niederösterreichs Wirtschaftsagentur GmbH,,Projekt im Bereich Technologietransfer / KMU-Kooperation,,11098451.79,,,11098451.79,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2067,ecoplus. Niederösterreichs Wirtschaftsagentur GmbH,,Projekt im Bereich Technologietransfer / KMU-Kooperation,,231845.0,,,231845.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2068,'ECO-S' EDV Dienstleistungen & Handels GmbH,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2069,Edelböck Matthias,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2070,Eder Gerald Johann,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2071,Eder GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2072,Eder Martin,,Innovationsdienstleistung für Unternehmen,,652.5,,,652.5,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2073,Eder Michael,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2074,Eder Theodor,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2075,Eder Theodor,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2076,Eder Theodor,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2077,Eder Theodor Dipl.-Ing.,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2078,Eder Theodor Dipl.-Ing.,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2079,Eder Theodor Dipl.-Ing.,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2080,Eder Theodor Dipl.-Ing.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2081,Eder Theodor Dipl.-Ing.,,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2082,Eder Willibald,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2083,Edith Raderbauer Gasthof 'Zum Schatzkastl',,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2084,Edith Rössler Donaurestaurant,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2085,Edlinger Franz,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2086,Eduard Rabl,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2087,Eduard Rabl Rabl-Druck,,Innovationsdienstleistung für Unternehmen,,1200.0,,,1200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2088,Eduard Rabl Rabl-Druck,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2089,Edwin Richter,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2090,Edwin Richter Bäckerei mit Handel,,Innovationsdienstleistung für Unternehmen,,1200.0,,,1200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2091,Edwin Richter Bäckerei mit Handel,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2092,Edwin Wanzenböck Zimmerei,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2093,Eelco de Geus,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2094,EFAFLEX Torsysteme GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2095,EFG Umwelt- und Klimawerkstatt GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2096,EFG Umwelt- und Klimawerkstatt GmbH,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2097,Egerer Josef,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2098,Eggenweber Erich,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2099,Eggenweber Erich,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
